48,Самых распространённых языков программирования,24,2001-12-02,1491
49,Поддерживается компанией Ericsson.,73,1962-10-18,1499
50,Же время,82,1998-10-17,1489
51,Целенаправленно,45,1954-01-25,1014
52,Начала,39,2001-02-27,1431
53,"Слишком много, чтобы",53,1985-12-07,1291
54,В специальный,26,1971-11-15,1134
55,Некоторые концепции Erlang,19,2002-03-02,1180
56,Определяющий организацию,12,2015-07-15,1342
57,Черта языка,16,2013-09-27,2630
58,В связи,23,1993-03-02,1559
59,Даже на битовые,67,2016-03-29,1920
60,Расти в связи,42,2016-06-01,2497
61,— форма организации,17,2015-02-07,3294
62,В специальный,63,1999-09-07,1136
63,Распространено даже на,50,1991-07-12,1206
64,Организацию вычислений и структурирование,41,2013-06-26,1034
65,Которое использует сопоставление с,30,2009-01-02,1004
66,— функциональный язык,59,1946-06-26,1504
67,С образцом,63,1987-10-27,1904
68,Поддерживаться на уровне системы,6,1970-03-07,1941
69,Распространённых,59,1968-02-07,2426
70,"Даже на битовые строки,",95,2016-06-26,2885
71,С образцом распространено даже,65,1958-05-20,1256
72,"Информации слишком много,",0,1996-10-03,1277
73,В,57,1997-02-21,1766
74,Информации,46,2002-06-28,1104
75,И некоторые,47,2021-05-13,2041
76,Применяется в нескольких,16,2018-07-15,2711
77,То,61,2009-06-29,1070
78,Компанией,85,1995-02-04,1372
79,С,14,2013-04-05,1321
80,— серьёзное,94,1985-04-12,1165
81,"Парадигм программирования,",11,2013-08-04,1121
82,То же,9,1968-06-07,3970
83,"Концептуализации, определяющий организацию",64,2006-11-25,4227
84,Транслируются,28,1971-08-18,2756
85,В связи,96,1974-09-16,2908
86,Организацию вычислений и,34,2010-06-24,1651
87,Распространённых языков программирования,44,2013-07-09,1091
88,—,81,2013-07-03,1444
89,Совокупность идей,51,2008-08-20,3292
90,Форма организации простой интерактивной,10,1995-04-11,2184
91,Парадигм,96,2021-11-30,1052
92,Образцом распространено,48,2007-06-13,1402
93,Способ,61,2013-09-25,2575
94,Ericsson.,62,1981-08-09,1938
95,Парадигм,51,1956-06-09,1173
96,Из,22,2020-08-12,2082
97,Поддерживается компанией Ericsson.,67,2011-10-28,2715
98,Поддерживается компанией,21,1997-10-12,1037
99,"Программирования, который скорее",25,2011-01-21,2249
100,Определение,0,1980-10-20,1820
101,Же время стандартная,60,2000-06-05,1327
102,"Программирования, в том",69,1974-09-07,2040
103,На уровне системы,56,1989-05-08,1834
104,В специальный,22,2008-12-02,4089
105,— стандартизированный чистый,6,1988-01-09,3925
106,Время стандартная,71,2016-01-07,1657
107,"Декларативным языком программирования,",71,1988-12-02,1261
108,Ericsson.,12,2019-03-23,1418
109,Это,55,2001-07-28,1650
110,Расти в связи с,28,2022-07-23,1094
111,Расти в связи с,31,2021-09-28,1865
112,Простой интерактивной среды,96,1959-06-15,1029
113,И некоторые концепции,32,2008-07-23,4289
114,"Программирования, в том",37,1988-11-11,1754
115,Совокупность идей и,14,1954-03-15,3240
116,В специальный,56,1990-11-09,1046
117,Применяется в,66,1986-02-17,1318
118,Расти в связи,95,2021-12-02,2985
119,Наш,27,2022-12-28,1675
120,Языка — серьёзное отношение,46,1969-06-03,1080
121,Языка —,93,1991-03-20,1880
122,"Определение функции,",46,2013-08-30,1149
123,Синтаксис и,72,2009-01-24,2719
124,И,67,2010-03-22,1251
125,Язык программирования с,95,1997-05-21,1102
126,Несколько,70,2006-12-05,3511
127,Несколько,23,1980-01-06,1841
128,Стандартная библиотека,84,1997-01-14,1596
129,Может поддерживаться,12,1992-09-11,1339
130,То же,10,1972-09-20,2854
131,Может,72,2002-09-04,1643
132,Образцом распространено даже,95,1998-07-29,1935
133,Стандартная библиотека включает большой,64,1998-07-21,1239
134,Программирование — стиль,31,2018-04-17,1995
135,Организации,58,1980-07-25,1947
136,Язык программирования,45,1962-05-23,2469
137,Программирование может поддерживаться на,98,2017-02-16,2092
138,Стандартная библиотека включает,0,1989-06-04,2241
139,Наш,85,1988-11-21,1265
140,Себя средства,14,1960-03-15,2691
141,Ericsson.,71,1978-01-26,3236
142,Языком,48,2021-09-20,2634
143,"Функции, которое использует",32,2020-08-06,1424
144,Концепции,52,2019-01-12,1663
145,И некоторые концепции,20,2008-05-03,2773
146,Стандартизированный чистый функциональный язык,37,1991-06-08,1237
147,Программирования с сильной,87,1989-03-26,2370
148,"Стиль программирования, отличающийся обширным",79,2009-09-18,1736
149,"Программирования, в том числе",76,1977-10-04,1952
150,Черта,66,2014-07-21,1100
151,Программирования с сильной,56,2002-11-01,1423
152,Средства порождения параллельных легковесных,93,2007-04-20,4000
153,Определение,3,2007-07-30,2362
154,Может поддерживаться на уровне,28,2018-11-13,2250
155,"Парадигм программирования,",53,1996-08-21,1778
156,Языком,35,2016-10-02,1625
157,"Программирования общего назначения, ориентированный",54,2022-11-29,2326
158,"Программирования, отличающийся обширным использованием",27,2013-12-04,2010
159,Язык программирования,50,2018-10-31,1429
160,В себя средства порождения,89,2016-07-18,1125
161,Nosql-Базах данных,4,1967-07-20,1089
162,Себя средства,57,1950-02-23,1641
163,Типизированный,5,1981-09-12,1234
164,Расти в,69,1983-10-06,1407
165,Декларативным языком,85,2018-10-03,1020
166,Ядра,90,1999-07-06,1973
167,И,8,2013-01-10,3149
168,"Использует сопоставление с образцом,",87,1998-07-27,2320
169,Стиль,54,2012-08-18,1237
170,Python минималистичен.,95,1981-11-29,4310
171,"Слишком много, чтобы",39,2007-01-15,1464
172,—,20,1998-05-23,2039
173,"Программирования, который",18,2022-04-30,1110
174,Определяющий организацию вычислений,70,2022-01-23,1475
175,— высокоуровневый язык программирования,54,2002-10-30,3086
176,Начала расти,8,2008-08-23,3894
177,— строго,66,1989-09-17,1152
178,Самых распространённых,17,1990-03-07,1278
179,Программирования —,6,1976-05-07,1179
180,На,17,1989-08-17,1468
181,"Стиль программирования, отличающийся",53,1973-11-29,1113
182,Программирования,87,1981-05-11,1414
183,Определение,64,1988-12-16,1313
184,"Совокупность идей и понятий,",36,1989-05-26,1863
185,Средства порождения параллельных легковесных,89,2009-04-20,3761
186,Век,94,2010-12-12,4486
187,Распространено,11,2011-02-21,1062
188,Век информации,96,1976-02-05,1002
189,Для применения,33,2021-12-03,2791
190,Язык программирования,78,2001-05-17,2184
191,Наш век информации слишком,0,2017-06-05,1169
192,Это совокупность,81,1980-09-05,2148
193,Форма,67,2016-07-26,1591
194,Это,63,1990-12-24,1162
195,"Функции, которое использует сопоставление",90,2008-10-31,1319
196,Программирования общего,61,2006-06-08,4436
197,Распространено даже,26,1992-07-09,1315
198,Программирования,85,1966-11-29,4919
199,Программирования —,35,2001-01-31,1197
200,Информации,74,1988-11-13,2473
201,Форма,46,1980-11-11,1292
202,— стандартизированный чистый функциональный,35,2008-12-31,1135
203,Концепции Erlang унаследовал,13,1991-01-28,1815
204,Высокоуровневый язык,84,2012-05-31,2441
205,Программирования с сильной динамической,55,1997-12-24,1456
206,Является декларативным,24,2019-10-03,1174
207,Организацию вычислений и,66,2004-08-05,2464
208,Программирование — стиль,82,2018-10-03,2058
209,— функциональный,72,2018-04-23,1020
210,Наш век информации,52,2003-01-24,1909
211,В связи,4,1986-05-06,1590
212,—,2,1984-07-12,1071
213,Простой интерактивной,60,2000-03-30,5130
214,И поддерживается компанией,38,2005-06-02,3557
215,Ядра,5,1969-01-14,2617
216,Минималистичен.,84,2017-04-16,1925
217,Целенаправленно разработан для,66,2010-09-12,1382
218,Использует,86,1966-07-24,1038
219,Nosql-Базах,91,2003-07-07,1408
220,Поддерживает несколько парадигм,18,2004-08-08,1907
221,Простой интерактивной среды программирования,28,2007-11-03,2042
222,Является декларативным,47,1982-03-10,3014
223,Распространено даже,43,2013-05-07,1867
224,"Век информации слишком много,",59,2008-10-01,1649
225,Nosql-Базах данных высокой доступности.,78,2006-01-03,1451
226,Поддерживаться на,85,1970-03-20,2037
227,Nosql-Базах,53,2020-03-16,1827
228,Поддерживает несколько,87,1994-09-20,3388
229,Самых,27,2020-05-13,4958
230,Некоторые концепции,4,1966-06-22,2935
231,"Программирования, который скорее используется",52,1996-10-25,1959
232,Транслируются в,91,2000-05-22,1075
233,Языка — серьёзное,97,1991-08-06,1406
234,Ядра Python,27,2010-09-26,1486
235,Стандартизированный,95,2016-02-27,4428
236,Включает,55,1983-10-30,1388
237,Программирования,19,2007-05-15,1031
238,— стиль,79,2006-03-18,3014
239,То же,31,2009-09-26,2070
240,Программирования — это,60,2021-02-11,2737
241,Это совокупность идей,51,2014-05-21,2892
242,"Способ концептуализации, определяющий",62,2003-11-18,1324
243,Программирования — это совокупность,95,1988-06-13,1131
244,"Стиль программирования,",40,2000-04-10,1081
245,Стандартизированный,64,2013-05-30,3614
246,Организации,50,2014-08-01,1653
247,Типизированный объектно-ориентированный язык,56,2018-03-30,1143
248,То же время,1,2006-06-20,1673
249,В себя,37,1995-02-08,1457
250,Компанией Ericsson.,27,2002-08-18,1062
251,Использует сопоставление с,35,2013-07-25,1639
252,Же,1,2012-02-28,4062
253,Ядра Python,74,1994-11-05,1225
254,Форма организации простой интерактивной,53,2010-06-25,1644
255,Же,76,1962-06-08,1174
256,Нескольких,15,1958-04-30,3198
257,Программирования с сильной,33,2004-08-13,2462
258,Язык программирования,43,2006-03-08,1564
259,С образцом распространено,81,2015-02-20,1064
260,В нескольких NoSQL-базах данных,22,2016-04-30,1912
261,"Определение функции,",49,2013-06-17,1012
262,— стандартизированный чистый,67,2005-03-01,2004
263,Включает в,63,1988-04-12,2598
264,Транслируются в,29,2012-02-25,1877
265,Был целенаправленно,56,2016-03-21,1479
266,Это совокупность идей,50,1981-10-07,1263
267,"Транслируются в специальный байт-код,",73,2015-12-31,1535
268,Себя средства порождения,50,2009-04-27,2593
269,Черта языка — серьёзное,87,1971-02-15,1137
270,Себя,96,2012-04-13,3014
271,— стандартизированный чистый функциональный,51,2011-03-18,1447
272,Для применения,77,1976-09-20,2717
273,Организацию вычислений и структурирование,99,1996-02-25,2299
274,Использует,11,2007-05-01,2776
275,Обычно транслируются в специальный,90,2005-02-03,2196
276,Ядра Python,61,2010-03-02,3167
277,Некоторые концепции Erlang,82,2000-12-04,2136
278,Целенаправленно,43,2003-05-22,2324
279,Которое,34,2016-08-12,1169
280,"Язык программирования общего назначения,",65,1977-05-18,2288
281,Даже на,85,1978-02-27,1969
282,Расти в связи с,62,1986-05-06,1370
283,Наш век информации,4,1984-02-25,1330
284,И поддерживается,43,2018-09-09,1060
285,— стиль,44,1976-04-18,2259
286,Программирования,78,1994-11-24,1255
287,Обычно транслируются,44,1996-11-11,1359
288,Программирования с,31,2021-09-09,1200
289,Обычно,50,1985-12-07,3458
290,Строго типизированный объектно-ориентированный,5,1966-10-30,2222
291,Из самых,33,2017-11-04,2565
292,Использует,40,2007-12-15,1417
293,Некоторые концепции Erlang,92,2006-01-03,1539
294,Ядра,10,1965-03-05,1401
295,В специальный,2,2013-12-23,3804
296,Время стандартная,98,2003-01-14,1482
297,Erlang,14,2003-08-31,1816
298,Разработан,35,1994-05-28,4079
299,Самых,26,1999-04-06,1651
300,Расти в связи,44,1994-03-09,1002
301,Расти в связи,45,2004-11-01,2520
302,"Стиль программирования, отличающийся",84,2008-01-11,1015
303,В связи с расширением,30,2008-01-31,1394
304,Python минималистичен.,63,2015-04-21,1706
305,— серьёзное,99,1957-04-16,3065
306,Программирование —,99,1986-11-15,1484
307,Чистый функциональный язык,26,2015-02-11,1066
308,Java обычно транслируются в,64,1989-12-10,2905
309,Программирование —,52,2019-02-27,1655
310,Несколько,66,2014-02-17,2353
311,Программирования с сильной,35,1990-09-10,1764
312,Обычно транслируются,80,2005-10-14,6284
313,"Программирования,",1,2019-12-10,1885
314,Поддерживаться на,25,2020-10-10,2582
315,Минималистичен.,34,1998-11-05,1669
316,Компанией Ericsson.,33,1982-11-24,4466
317,Применяется,90,2022-12-30,1094
318,"Объектно-Ориентированный язык программирования,",85,2001-05-25,1952
319,Распространённых языков программирования,45,1958-05-01,1119
320,Нескольких NoSQL-базах данных,93,1990-01-29,1848
321,Организацию вычислений и,39,2019-07-19,2219
322,—,61,1999-10-10,1248
323,Язык,72,2004-04-08,1093
324,Строго типизированный объектно-ориентированный язык,49,2016-02-28,2434
325,Которое использует,12,2000-12-24,2422
326,Стандартная библиотека включает,79,2018-07-21,3509
327,В нескольких,47,1966-05-29,1641
328,И,56,2008-07-24,1159
329,Стандартная библиотека,45,1972-02-02,1371
330,"Функции, которое использует",28,1960-03-16,1432
331,Черта языка — серьёзное,73,1986-09-12,1223
332,"Язык программирования общего назначения,",68,1950-10-28,2029
333,Форма,27,2007-05-31,1619
334,Нескольких NoSQL-базах данных,13,1970-06-13,1970
335,Некоторые концепции Erlang,81,1989-10-12,1085
336,Средства порождения параллельных,97,2006-08-28,2937
337,Стандартизированный,36,1979-07-25,1320
338,Может поддерживаться на,25,2009-10-19,1500
339,Является декларативным,28,1957-01-02,2173
340,Строго,23,1994-06-28,1254
341,Черта,41,2018-08-19,3178
342,То же время,36,1981-11-26,1534
343,Средства порождения параллельных,95,2000-09-08,4874
344,Строго типизированный объектно-ориентированный,69,1974-01-03,1184
345,Применяется в нескольких,56,1979-06-22,1079
346,Программирование может,90,2017-11-10,2717
347,— строго,46,1961-11-28,4130
348,Синтаксис и,43,2021-05-24,1816
349,— функциональный,72,2012-03-06,2253
350,На уровне системы типов,60,2018-02-19,1463
351,— функциональный,4,1998-12-22,1683
352,— серьёзное,81,1996-12-26,3010
353,Некоторые концепции Erlang,33,2013-04-26,2664
354,И некоторые,2,2012-10-28,1886
355,"Программирования, который",89,2009-03-04,1453
356,И поддерживается компанией,79,2010-05-02,1112
357,"Функции,",69,1982-03-10,2486
358,Расти в связи,27,2019-02-28,2275
359,Век информации,76,1991-02-11,1070
360,Наш век,80,1979-10-10,1947
361,"Слишком много, чтобы",48,2020-08-31,2398
362,Java обычно транслируются,95,2001-04-01,1004
363,Использует,36,2009-10-29,2321
364,Информации,11,2017-02-14,2385
365,Программирования с сильной динамической,37,2014-06-26,5248
366,—,85,1991-02-07,1248
367,"Программирования общего назначения,",97,2019-08-23,1745
368,Время стандартная,92,2018-09-03,1268
369,Некоторые,85,2006-04-28,3414
370,Обычно транслируются в,43,2009-02-17,2223
371,Высокоуровневый язык,25,2007-08-12,1617
372,Серьёзное отношение к типизации.,93,1989-03-11,2503
373,Одним из самых,55,1999-05-01,3756
374,Даже на битовые,75,1982-08-30,1965
375,Организации простой,49,2013-03-01,2031
376,Был целенаправленно разработан,32,2017-12-02,2257
377,На,53,2014-01-06,6680
378,Язык,47,2006-10-26,1926
379,Век,20,2007-11-13,2137
380,—,22,2011-01-13,1655
381,Язык,15,1964-11-11,2593
382,"Программирования,",40,2000-03-14,1436
383,"Программирования, который",6,1971-08-05,1246
384,Синтаксис и,95,2011-05-20,2714
385,Обычно транслируются,76,1996-11-14,1401
386,Языка — серьёзное отношение,30,2015-12-08,2433
387,— форма,22,2013-10-22,1713
388,Средства порождения,71,2014-08-22,1271
389,"Программирования общего назначения,",59,2014-10-24,1556
390,Python минималистичен.,64,1977-10-23,1635
391,Ericsson.,2,1972-06-15,1979
392,Средства,51,1957-11-21,5487
393,И поддерживается компанией Ericsson.,48,2018-04-11,3406
394,На уровне системы типов,87,1997-06-22,1163
395,— высокоуровневый язык,6,2000-11-07,1164
396,Поддерживается,60,2021-05-01,1436
397,"Несколько парадигм программирования, в",47,1999-10-26,1322
398,Ericsson.,66,1984-07-26,2293
399,— это совокупность,76,1988-02-29,2853
400,И некоторые концепции Erlang,10,1998-12-08,1741
401,"Парадигм программирования, в том",47,2013-05-02,2679
402,Из самых распространённых языков,57,1965-09-19,1711
403,"Функции, которое",62,2003-09-10,1472
404,В,68,1992-08-06,1341
405,Декларативным языком,5,2012-04-24,1063
406,"В специальный байт-код,",51,1973-08-29,1029
407,Серьёзное отношение к типизации.,38,1978-11-22,2811
408,На уровне системы,97,1981-05-11,2276
409,Программирования,83,1993-10-04,1008
410,"Информации слишком много, чтобы",75,2017-02-25,4466
411,—,14,2016-12-17,1206
412,Программирование может,21,1969-07-11,2073
413,Нескольких NoSQL-базах,60,1996-01-17,3131
414,В себя средства,41,1970-07-29,3381
415,Организации простой интерактивной,76,2004-10-01,1121
416,—,28,2018-09-02,2234
417,Высокоуровневый язык,5,2014-11-11,1372
418,И некоторые концепции,55,1981-10-07,5299
419,Java обычно транслируются в,92,2016-02-05,2090
420,Поддерживаться на,54,2011-06-19,2753
421,Серьёзное отношение,80,2016-04-23,1089
422,Является,22,2005-11-27,1060
423,Целенаправленно,2,2012-03-27,1417
424,"Слишком много, чтобы понять",83,1992-08-25,2798
425,— стандартизированный чистый функциональный,87,2002-05-15,2083
426,"Объектно-Ориентированный язык программирования,",31,2005-04-29,1126
427,Nosql-Базах,94,1979-09-09,2155
428,Ядра Python минималистичен.,97,2004-06-20,1886
429,Типизированный объектно-ориентированный язык,64,1986-09-17,1052
430,Включает,9,1970-08-01,3380
431,"Слишком много,",88,2021-12-28,2155
432,Строго,9,1979-01-13,1028
433,Серьёзное отношение,23,1982-06-25,1740
434,— форма организации,55,2006-02-04,1410
435,И некоторые концепции Erlang,75,1982-03-30,1463
436,— функциональный язык,22,2005-07-27,1167
437,"Декларативным языком программирования, который",82,1998-12-22,1371
438,Которое,92,2022-12-08,1750
439,Включает в себя средства,88,2017-08-02,1698
440,Даже на,57,1959-09-16,1169
441,Python минималистичен.,62,2000-02-03,3135
442,Определение,94,1994-07-05,1958
443,Применяется в,45,1959-01-07,1729
444,Серьёзное отношение к,71,1988-04-08,1580
445,Же время,44,1997-03-06,1774
446,Определяющий организацию вычислений и,89,2022-11-23,1320
447,Стандартная библиотека,28,1958-01-29,1301
448,— форма организации,5,2021-09-27,1639
449,Стандартная,8,2015-07-29,2281
450,"Несколько парадигм программирования,",82,2016-01-20,1318
451,"Объектно-Ориентированный язык программирования,",72,2009-07-19,1011
452,Программирования,28,1991-10-20,1602
453,Чистый,51,1977-07-18,3851
454,Функциональный язык программирования общего,97,1991-10-03,1393
455,Программирования,34,1997-09-15,1214
456,"— стиль программирования, отличающийся",41,1975-12-08,1423
457,"Программирования, который",4,1979-06-18,2264
458,"Типизированный объектно-ориентированный язык программирования,",26,2004-05-09,2979
459,Nosql-Базах,98,2004-03-07,1074
460,Целенаправленно разработан,23,2004-03-29,1032
461,Декларативным языком,0,2022-06-27,1111
462,Организацию вычислений,66,1985-07-26,2349
463,Время,61,2018-02-15,1712
464,Же время стандартная библиотека,52,2015-10-01,1482
465,Нескольких,84,1992-03-14,1050
466,Из самых распространённых языков,87,1989-08-06,1400
467,Простой интерактивной,68,2012-04-12,1400
468,В себя,5,1961-06-15,1156
469,Минималистичен.,66,2010-11-06,1069
470,Ядра,41,1988-10-26,1504
471,"Определение функции, которое использует",49,2008-01-24,1421
472,— строго,25,2000-05-30,4390
473,"Концептуализации, определяющий",91,1997-03-05,2165
474,Серьёзное отношение к,40,2014-12-01,1354
475,Время стандартная библиотека,36,2004-02-29,1611
476,Которое использует сопоставление с,26,1967-07-24,1973
477,— стандартизированный чистый,80,1983-05-05,1482
478,И поддерживается компанией,27,2022-05-31,1577
479,"Концептуализации,",71,2004-07-06,1594
480,"Функции, которое использует",23,1995-10-26,1785
481,Начала расти в,65,2001-04-23,2456
482,Форма,6,2012-11-12,1413
483,Строго,88,2017-02-08,1606
484,Несколько,80,1994-08-09,1478
485,"Программирования,",15,1986-10-13,1284
486,"Является декларативным языком программирования,",22,2010-06-02,1952
487,Высокоуровневый язык программирования общего,2,2015-12-29,2650
488,— стандартизированный чистый функциональный,57,1947-07-26,1552
489,В нескольких NoSQL-базах данных,80,1980-06-18,1462
490,Расти в связи с,27,2021-12-24,1343
491,Минималистичен.,79,2014-02-16,1902
492,"Стиль программирования,",31,2005-02-16,1440
493,Распространённых языков программирования с,94,1982-08-01,1384
494,"Функции, которое использует",74,2004-02-04,3449
495,Наш,40,2008-06-24,1564
496,Стандартизированный чистый функциональный язык,65,1957-12-10,1778
497,В нескольких,82,1994-12-01,2170
498,Из самых,69,1956-09-22,1235
499,Erlang,2,2011-06-23,1613
500,Транслируются в,90,2022-08-06,1317
501,"Языком программирования,",36,1991-02-09,1206
502,Слишком,70,2017-06-18,2813
503,"Программирования, отличающийся обширным использованием",12,2006-07-08,1530
504,Начала расти,61,1997-09-27,1518
505,Синтаксис и некоторые концепции,37,2004-10-16,1129
506,Синтаксис и некоторые концепции,51,2012-08-29,1877
507,Erlang,55,2022-05-18,2433
508,Программирования —,8,2012-10-14,1003
509,Поддерживается,31,2018-03-25,1662
510,Обычно транслируются в,12,2020-07-21,1581
511,Программирование,90,2002-05-12,1780
512,Образцом распространено даже,93,2012-08-16,1944
513,Nosql-Базах данных высокой,73,2011-10-26,1164
514,"Декларативным языком программирования, который",40,1997-06-02,2083
515,Это совокупность идей и,83,2017-06-26,1769
516,Высокоуровневый язык,92,2017-09-23,2969
517,"Определение функции, которое",5,1984-07-20,1694
518,С образцом распространено,63,2018-12-02,1001
519,Поддерживается компанией Ericsson.,33,1977-10-15,1271
520,Некоторые концепции,43,2007-07-23,1172
521,Программирование,79,1995-05-05,1241
522,Самых распространённых языков программирования,1,2015-03-23,1214
523,С,21,2008-11-16,2619
524,На,23,2000-02-04,1078
525,"Программирования, отличающийся обширным",33,1992-12-08,3531
526,Концепции Erlang,84,2018-05-12,1287
527,"Концептуализации, определяющий",84,1997-10-02,1279
528,Программирование может,6,1978-08-14,1919
529,Является декларативным,26,1971-02-21,1061
530,Включает,85,1977-11-07,2531
531,Начала,85,1995-10-17,2108
532,"Поддерживает несколько парадигм программирования,",73,2001-10-19,1279
533,Простой,72,2015-04-25,3022
534,В нескольких NoSQL-базах,67,2021-09-22,1958
535,Язык программирования,11,2011-04-10,2169
536,"Программирования, который скорее используется",13,2015-04-13,1209
537,"Даже на битовые строки,",54,1986-02-28,1968
538,В специальный,28,1980-12-19,1245
539,Самых распространённых языков,21,2010-11-09,1187
540,Организацию вычислений,62,1987-05-06,1485
541,Определяющий,67,2012-10-27,1127
542,—,61,2007-12-11,1269
543,Высокоуровневый,6,1974-10-05,1490
544,И,21,2005-02-10,3119
545,Python минималистичен.,10,1996-02-25,1100
546,Функциональный язык программирования,42,2008-07-28,2306
547,Функциональный язык программирования,9,1993-04-16,1751
548,Форма организации,49,2013-01-03,1945
549,Чистый функциональный язык,12,2001-11-14,1126
550,Использует,25,2004-08-08,3942
551,Высокоуровневый язык,88,1982-01-19,1843
552,Erlang начала,36,1978-01-01,3233
553,Распространено даже на,47,1974-10-30,1027
554,Самых,16,2005-10-18,2432
555,"Информации слишком много, чтобы",52,1995-05-06,3481
556,"Функции,",57,1997-09-26,2187
557,Erlang начала расти в,85,1969-03-28,1134
558,Серьёзное отношение к типизации.,63,2004-02-13,3270
559,В связи с расширением,12,1990-11-25,1194
560,Это совокупность идей и,58,1999-06-14,1257
561,Самых,61,1997-08-23,1742
562,На уровне,58,2007-09-03,1497
563,"Парадигм программирования, в том",34,2006-04-30,4270
564,— серьёзное отношение,77,1970-12-19,1335
565,— функциональный язык,90,2014-01-11,1796
566,Разработан,99,2021-03-21,1589
567,Строго типизированный объектно-ориентированный,10,2010-09-06,1372
568,— стандартизированный чистый,87,1991-09-22,1663
569,Поддерживает,82,2014-12-22,1290
570,Декларативным,25,2017-01-08,3274
571,Обычно транслируются в специальный,9,1986-11-29,3372
572,Erlang начала,86,2014-10-08,1254
573,Java,96,1981-12-22,2100
574,То,22,1997-09-10,1438
575,Поддерживает несколько,88,2005-10-01,1039
576,Был целенаправленно разработан для,29,1989-11-26,1477
577,Серьёзное отношение к,91,1997-11-26,1504
578,Поддерживается компанией,43,2020-11-21,5249
579,Даже,91,1996-12-30,1602
580,Информации слишком,38,1984-06-05,2426
581,"— стиль программирования,",95,2021-01-21,1179
582,Nosql-Базах данных высокой доступности.,35,2010-04-20,1570
583,"Объектно-Ориентированный язык программирования, разработанный",44,1979-09-22,2525
584,Минималистичен.,24,2008-03-27,1369
585,Синтаксис и некоторые,67,2019-03-29,1440
586,Программирования с сильной,78,2017-08-02,2742
587,Определяющий организацию вычислений,78,2018-07-10,4060
588,"Программирования, отличающийся",82,2013-06-17,1081
589,"В специальный байт-код, поэтому",96,2022-02-28,1298
590,—,51,1956-03-19,1635
591,Даже,16,2011-09-18,1938
592,Языка — серьёзное отношение,3,2003-08-28,3326
593,"Программирования общего назначения, ориентированный",97,1994-08-04,1919
594,Декларативным языком,91,2017-12-07,1144
595,Поддерживается компанией Ericsson.,22,2019-03-15,1473
596,Ericsson.,35,1997-11-05,1136
597,Язык программирования с сильной,40,2004-09-04,2810
598,Nosql-Базах данных высокой доступности.,3,2018-06-06,3714
599,Форма организации простой,86,1969-02-18,2321
600,Серьёзное отношение,66,2017-01-04,1944
601,"Парадигм программирования, в",35,1989-06-15,1014
602,"— стиль программирования,",94,1976-10-06,1420
603,Erlang начала расти в,27,2021-04-26,1954
604,—,8,2004-10-27,1859
605,Включает,38,1995-04-13,3671
606,Может поддерживаться,42,2006-12-12,2576
607,Является,24,2020-09-26,3971
608,"Информации слишком много, чтобы",59,1997-11-15,2901
609,Наш век информации,16,2015-12-16,1855
610,Язык программирования с сильной,97,1990-11-19,1096
611,"Транслируются в специальный байт-код,",92,2012-05-23,1242
612,Простой,13,2008-09-20,1368
613,Erlang начала расти в,79,1994-06-23,1798
614,Это совокупность,63,1988-01-10,1248
615,Век информации,36,1993-09-27,2546
616,Себя,87,1988-03-05,1200
617,Определяющий организацию вычислений,85,2013-04-17,4242
618,Программирования с,16,2018-11-04,1101
